id,titulo,artista,genero,anio,duracion_seg
23,Photograph,Ed Sheeran,Pop,2015,4.17
26,Shape of You,Ed Sheeran,Pop,2017,3.54
28,Thinking Out Loud,Ed Sheeran,Pop,2014,4.41
3,Nothing Else Matters,Metallica,Rock,1991,6.28
